City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
283,san pedro de macoris,18.4616,-69.2972,23.29,90,100,4.03,DO,1730342675
284,belyy yar,53.6039,91.3903,1.94,75,0,8.0,RU,1730342677
285,cacu,-18.5567,-51.1308,23.53,73,37,4.07,BR,1730342678
286,udachny,66.4167,112.4,-16.85,97,94,1.45,RU,1730342679
287,atafu village,-8.5421,-172.5159,28.53,67,100,6.3,TK,1730357079
288,viru,-8.4167,-78.75,17.77,78,100,1.17,PE,1730357081
289,merritt,50.1123,-120.7942,3.51,88,98,0.45,CA,1730357082
290,mbanza kongo,-6.267,14.2401,22.86,77,100,1.68,AO,1730357083
291,marka,1.7159,44.7717,25.28,83,24,4.09,SO,1730420855
292,lovington,32.944,-103.3485,17.87,22,0,0.45,US,1730420856
293,abadan,30.3392,48.3043,23.19,46,92,1.2,IR,1730420857
294,nar'yan-mar,67.6713,53.087,0.82,97,100,9.87,RU,1730420858
295,prince george,53.9166,-122.753,7.57,66,20,1.54,CA,1730420859
296,kalmunai,7.4167,81.8167,25.53,86,100,2.58,LK,1730420860
297,somerset east,-32.7217,25.588,13.9,77,78,0.49,ZA,1730420861
298,crane,31.3974,-102.3501,20.46,26,2,3.9,US,1730420862
299,cullman,34.1748,-86.8436,18.36,100,100,3.6,US,1730420864
300,mont-dore,-22.2833,166.5833,27.42,47,0,3.93,NC,1730420865
301,urangan,-25.3,152.9,24.16,75,14,9.82,AU,1730420866
302,aasiaat,68.7098,-52.8699,-5.97,74,100,8.81,GL,1730420867
303,gobabis,-22.45,18.9667,20.01,17,0,4.07,NA,1730420868
304,keuruu,62.2667,24.7,-0.91,83,95,1.31,FI,1730420869
305,tura,25.5198,90.2201,23.65,70,99,1.04,IN,1730420871
306,sinabang,2.4803,96.3801,26.25,82,100,0.86,ID,1730420872
307,paita,-5.0892,-81.1144,16.94,86,49,6.66,PE,1730420873
308,san pedro,14.35,121.0167,28.57,89,20,2.24,PH,1730420874
309,ofunato,39.0717,141.7167,15.47,53,54,0.71,JP,1730420875
310,churapcha,62.0025,132.4325,-20.55,94,82,0.67,RU,1730420876
311,fatehpur,25.9333,80.8,23.29,48,3,1.67,IN,1730420877
312,magadan,59.5667,150.8,-8.76,66,100,4.48,RU,1730420878
313,sabang,5.8933,95.3214,28.32,77,43,7.25,ID,1730420879
314,zyryanovsk,49.7386,84.2719,0.24,88,100,0.78,KZ,1730420881
315,kidal,18.4411,1.4078,24.8,17,84,4.79,ML,1730420882
316,college,64.8569,-147.8028,-7.53,75,100,2.06,US,1730420883
317,al kharj,24.155,47.3346,23.32,67,7,2.91,SA,1730420884
318,hassi messaoud,31.6804,6.0729,20.92,52,0,1.03,DZ,1730420885
319,tofol,5.3248,163.0078,30.88,70,75,5.14,FM,1730420886
320,vorgashor,67.5833,63.95,-1.86,85,88,10.16,RU,1730420887
321,viljandi,58.3639,25.59,8.83,96,100,3.04,EE,1730420888
322,umm ruwaba,12.9061,31.2158,26.15,18,96,4.21,SD,1730420890
323,jiwani,25.05,61.7417,26.59,69,0,0.52,PK,1730420891
